order_id,order_date,customer_name,segment,region,state,category,sub_category,sales,quantity,discount,profit,order_year,order_month,month_name,quarter,profit_margin,sales_category,discount_categoty,profit_status,large_order
797789,2023-06-09,Amit,Corporate,East,Karnataka,Furniture,Phone,37108.2452930651,2,0.2035202455260376,6470.186356426126,2023,6,June,2,17.435980347028952,High,Low Discount,profit,above Average
952681,2022-01-12,Neha,Corporate,South,Karnataka,Clothing,Chair,13293.796133218331,1,0.1860230371013509,19525.246553775443,2022,1,January,1,146.8748757549099,Low,Low Discount,profit,below average
960986,2023-01-27,unknown_customer,Corporate,West,Tamil Nadu,Electronics,Phone,26407.232196908983,1,0.0069979453443228,16074.897970021915,2023,1,January,1,60.873089046808595,Medium,Low Discount,profit,above Average
208944,2023-02-01,Priya,Home Office,East,Gujarat,Clothing,Chair,14021.706497719644,5,0.0681338687415181,11096.374652494496,2023,2,February,1,79.13711968153879,Low,Low Discount,profit,below average
827773,2022-10-30,Vishal,Consumer,East,Tamil Nadu,Furniture,Chair,7449.783381065808,7,0.359345048061183,-1390.9204780704158,2022,10,October,4,-18.67061640484133,Low,High discount,loss,below average
737144,2023-10-05,unknown_customer,Consumer,South,Delhi,Clothing,Phone,49876.98386203881,7,0.0323627419367431,19365.83102937924,2023,10,October,4,38.82718947670471,High,Low Discount,profit,above Average
716036,2023-04-09,Sneha,Consumer,North,Karnataka,Furniture,Shoes,26688.449777444806,2,0.0393332109784235,17064.375350912655,2023,4,April,2,63.93917778369526,Medium,Low Discount,profit,above Average
302283,2023-09-21,Priya,Home Office,South,Gujarat,Electronics,Chair,3163.6858369760503,9,0.1864721113748763,291.8630785300593,2023,9,September,3,9.225412811817975,Low,Low Discount,profit,below average
923628,2022-04-13,Sneha,Home Office,East,Delhi,Furniture,Phone,11685.210582345038,6,0.4546075427803774,10702.637787056528,2022,4,April,2,91.59131289620865,Low,High discount,profit,below average
479179,2023-02-16,Amit,Corporate,North,Maharashtra,Electronics,Laptop,6999.75101753922,3,0.4897224008350163,7275.860196077696,2023,2,February,1,103.944557139913,Low,High discount,profit,below average
509664,2022-07-21,Amit,Consumer,South,Tamil Nadu,Clothing,Table,42335.52915324993,8,0.278477387018021,-1799.1262569741912,2022,7,July,3,-4.249684113930767,High,Low Discount,loss,above Average
449345,2023-04-24,Priya,Home Office,West,Delhi,Electronics,Table,49258.74274322231,4,0.3566305216799585,18444.745940989797,2023,4,April,2,37.444613714846945,High,High discount,profit,above Average
408449,2022-11-04,Rahul,Corporate,South,Karnataka,Clothing,Table,46765.71540896844,1,0.4327347137412002,8720.803556222929,2022,11,November,4,18.647856618805207,High,High discount,profit,above Average
753525,2022-05-04,Priya,Corporate,North,Maharashtra,Electronics,Laptop,47538.66675389158,6,0.3827347339963131,18788.642001190237,2022,5,May,2,39.522862722379934,High,High discount,profit,above Average
346553,2022-03-03,Amit,Home Office,North,Delhi,Clothing,Laptop,26370.805744180103,6,0.1994658439881663,15898.510596615331,2022,3,March,1,60.28830044422912,Medium,Low Discount,profit,above Average
716070,2023-11-24,Neha,Home Office,West,Karnataka,Electronics,Shoes,6338.017033465297,8,0.2140410129963921,5554.851549999336,2023,11,November,4,87.6433673287595,Low,Low Discount,profit,below average
671224,2022-08-11,Sneha,Consumer,South,Tamil Nadu,Furniture,Chair,20296.978852755605,5,0.0209721518150652,-2792.7327178653827,2022,8,August,3,-13.759351764246574,Medium,Low Discount,loss,below average
183123,2022-10-17,Sneha,Consumer,North,Maharashtra,Clothing,Chair,42985.2352062639,4,0.378456726321465,737.8803228998631,2022,10,October,4,1.716590171855888,High,High discount,profit,above Average
390515,2023-07-07,Priya,Home Office,South,Karnataka,Clothing,Laptop,36618.189684851066,4,0.2707891912726533,-864.569508133668,2023,7,July,3,-2.3610383680199796,High,Low Discount,loss,above Average
323165,2022-11-05,Rahul,Corporate,North,Delhi,Electronics,Table,8270.294999366817,5,0.1977394249238533,1578.6739673205811,2022,11,November,4,19.088484358072428,Low,Low Discount,profit,below average
277164,2022-03-15,Vishal,Corporate,North,Maharashtra,Clothing,Shoes,6920.4886494501525,2,0.4072570152151528,8452.911041616944,2022,3,March,1,122.14326863015006,Low,High discount,profit,below average
910201,2022-03-20,Rahul,Corporate,South,Gujarat,Electronics,Chair,40028.53410217772,9,0.033322860959103,12793.254834359152,2022,3,March,1,31.960338097075468,High,Low Discount,profit,above Average
393313,2022-04-21,Amit,Corporate,North,Tamil Nadu,Electronics,Chair,12528.414942604306,9,0.4717862847335285,-1380.5516767223094,2022,4,April,2,-11.019364245572564,Low,High discount,loss,below average
605740,2023-02-16,Neha,Home Office,West,Gujarat,Electronics,Phone,23577.03958729636,1,0.2541582501391596,10544.345931665504,2023,2,February,1,44.722942813172125,Medium,Low Discount,profit,below average
387710,2022-05-09,Neha,Corporate,South,Tamil Nadu,Electronics,Shoes,26537.27134598775,1,0.4016325164300368,497.8340267138301,2022,5,May,2,1.875980466202299,Medium,High discount,profit,above Average
455249,2023-09-28,Vishal,Home Office,East,Karnataka,Electronics,Shirt,49969.9780634042,9,0.1054886519006648,19064.680866883336,2023,9,September,3,38.15226983428568,High,Low Discount,profit,above Average
619165,2022-08-31,Rahul,Corporate,West,Delhi,Clothing,Chair,19380.903227237603,1,0.0792882078170194,4052.144635155166,2022,8,August,3,20.907924608283214,Medium,Low Discount,profit,below average
912353,2022-07-05,unknown_customer,Corporate,West,Karnataka,Electronics,Shirt,30151.148772570927,4,0.4385541573257846,10711.355684864811,2022,7,July,3,35.525530936350705,Medium,High discount,profit,above Average
517972,2022-06-23,Amit,Home Office,East,Maharashtra,Electronics,Chair,25064.981390595312,9,0.1882465744251661,19196.0038915142,2022,6,June,2,76.58495169965207,Medium,Low Discount,profit,below average
671107,2023-07-26,Neha,Consumer,West,Delhi,Clothing,Laptop,23675.003829595385,8,0.324548468918526,-3709.98125881926,2023,7,July,3,-15.670456847747277,Medium,High discount,loss,below average
